column,file
lab,many
subid,many
method,many
ra,many
age_days,many
trial_order,many
session_error,many
session_error_type,many
notes,many
second_session,many
lang_group,many
lang1,many
lang1_exposure,many
lang2,many
lang2_exposure,many
lang3,many
lang3_exposure,many
caregiver_seat,many
macarthur_ladder,many
participant_gender,many
race_ethinicty,many
parenta_gender,many
parenta_education,many
parenta_education_info,babylab_nijmegen_participants.csv
parentb_gender,many
parentb_education,many
parentb_education_info,babylab_nijmegen_participants.csv
preterm,many
days_preterm,many
prev_earinfection,many
curr_earinfection,many
hearing_vision,many
hearing_vision_info,many
cognitive_developmental,many
cognitive_developmental_info,many
sib1_age,many
sib1_gender,many
sib2_age,many
sib2_gender,many
sib3_age,many
sib3_gender,many
sib4_age,many
sib4_gender,many
tod,many
"season,,,",babylab_nijmegen_participants.csv
ra/only_offline_coding,Babylab_parisdescartes2_participants_6-9.csv
lang4,many
lang4_exposure,many
bilingual_nae,many
bilingual_parenta_nae,many
bilingual_parentb_nae,many
bilingual_interview_lang,many
beard,many
ratype,many
childcare,many
visits,many
household_size,many
last_feed_min,many
last_sleep_min,many
season,many
termtime,many
popnum,many
popkm2,many
race_ethnicity,many
parent_a_gender,many
parent_a_education,many
parent_a_education_id,babylab_plymouth Participants.xlsx
parent_b_gender,many
parent_b_education,many
parent_b_education_id,babylab_plymouth Participants.xlsx
days_early,babylab_plymouth Participants.xlsx
prev_ear_infection,many
current_ear_infection,many
sibling1_age,many
sibling1_gender,many
sibling2_age,babylab_plymouth Participants.xlsx
sibling2_gender,many
sibling3_age,babylab_plymouth Participants.xlsx
sibling3_gender,many
sibling4_age,babylab_plymouth Participants.xlsx
sibling4_gender,many
x46,babylab-leiden Participants.csv
x48,many
x49,many
x50,many
x51,many
x52,many
x53,many
x54,many
x55,many
x56,many
experiment_headphone,many
macarthur,many
x60,many
x61,babylab-utrecht_participantsInfo.csv
...60,babylab-vuw_6-9months_ParticipantData.xlsx
x57,many
x58,babylablang-essex_Individual Lab Participants Data.csv
gender,many
sibling_1_gender,ethos-rennes_ParticipantsData.xlsx
sibling_2_age,many
sibling_2_gender,ethos-rennes_ParticipantsData.xlsx
sibling_3_age,many
sibling_3_gender,ethos-rennes_ParticipantsData.xlsx
sibling_4_age,many
sibling_4_gender,ethos-rennes_ParticipantsData.xlsx
last_feed,ethos-rennes_ParticipantsData.xlsx
last_sleep,ethos-rennes_ParticipantsData.xlsx
temp,ICCL-BC_Participant Data.xlsx
monolingual_nae,many
monolingual_parenta_nae,many
monolingual_parentb_nae,many
monolingual_interview_lang,many
parenta_education_exact,many
parentb_education_exact,many
lang_1,many
lang_1_exposure,many
lang_2,many
birth_order,many
sibling_1_age,many
family_age,many
caregiver,many
longer_time_caregiver,many
start_of_attendance_at_the_childcare,many
hours,many
race/ethnicity,many
gestation_week,many
birth_problems,many
hearing/vision,many
hearing/vision_info,many
cognitive/developmental,many
cognitive/developmental_info,many
parent_a_age,many
parent_a_master's_degree,many
parent_a_doctorate,many
parent_a_relationship,many
parent_a_native_lang,many
parent_a_race/ethnicity,many
parent_b_age,many
parent_b_second_degree,many
parent_b_master's_degree,many
parent_b_doctorate,many
parent_b_relationship,many
parent_b_native_lang,many
parent_b_race/ethnicity,many
total_cdi,many
understand,many
understand_and_say,many
lang_parenta,langlab-ucla -  ManyBabies 1 Individual Lab Participants Data.xlsx
lang_parentb,langlab-ucla -  ManyBabies 1 Individual Lab Participants Data.xlsx
lang_interview,langlab-ucla -  ManyBabies 1 Individual Lab Participants Data.xlsx
zipcode,langlab-ucla -  ManyBabies 1 Individual Lab Participants Data.xlsx
median_income_zipcode,langlab-ucla -  ManyBabies 1 Individual Lab Participants Data.xlsx
partcipant_gender,LLL_Liv_Participants.csv
cognitive_development,many
cogntitive_developmental_info,LLL_Liv_Participants.csv
time,lscp-psl_manybabies_Participants.csv
childcare_french,lscp-psl_manybabies_Participants.csv
orderrun(of_experiments),Manchester_MB_info.xlsx
subdid,MB1.participant.babylab-reading.csv
conitive_developmental,MB1.participant.babylab-reading.csv
cognitive-developmental_info,MB1.participant.babylab-reading.csv
bilingual_interview_lag,MB1.participant.babylab-reading.csv
http://sedac.ciesin.columbia.edu/mapping/popest/gpw-v4/,midevlab-bicocca_ParticipantData.xlsx
x1,many
prev_earinfections,many
current_earinfections,many
hearing_screen_hospital,many
hearing_screen_appt,many
bilingual_interiew_lang,many
parebta_gender,uds-saarland_participants.csv
hear_vision,uds-saarland_participants.csv
hear_vision_info,uds-saarland_participants.csv
cognitive_development_info,uds-saarland_participants.csv
sib5_age,utk-infantlangaugelab_12-15mos_participants.csv
sib5_gender,utk-infantlangaugelab_12-15mos_participants.csv
participant,weescience-edinburgh_ParticipantInfo.xlsx
