lab,subid,trial_type,stimulus,trial_num,looking_time,total_trial_time,trial_error,trial_error_type,notes,LocalTimeStamp,RecordingDate,
CogDevLab-BYU,P01,IDS,train1,-2,19.3,19.3,noerror,NA,NA,11:31:37.968,11/14/2017,
CogDevLab-BYU,P01,training,train2,-1,17.7,17.7,noerror,NA,NA,11:32:01.773,11/14/2017,
CogDevLab-BYU,P01,IDS,IDS1,1,20.0,20.0,noerror,NA,NA,11:32:26.646,11/14/2017,
CogDevLab-BYU,P01,ADS,ADS1,2,18.9,18.9,noerror,NA,NA,11:32:49.963,11/14/2017,
CogDevLab-BYU,P01,IDS,IDS2,3,17.1,17.1,noerror,NA,NA,11:33:11.693,11/14/2017,
CogDevLab-BYU,P01,ADS,ADS2,4,19.8,19.8,noerror,NA,NA,11:33:37.517,11/14/2017,
CogDevLab-BYU,P01,ADS,ADS3,5,19.3,19.3,noerror,NA,NA,11:34:00.318,11/14/2017,
CogDevLab-BYU,P01,IDS,IDS3,6,15.3,15.3,noerror,NA,NA,11:34:18.856,11/14/2017,
CogDevLab-BYU,P02,training,train2,-2,20.1,20.1,noerror,NA,NA,15:26:10.098,11/14/2017,
CogDevLab-BYU,P02,training,train1,-1,17.0,17.0,noerror,NA,NA,15:26:29.812,11/14/2017,
CogDevLab-BYU,P02,ADS,ADS1,1,19.4,19.4,noerror,NA,NA,15:26:55.717,11/14/2017,
CogDevLab-BYU,P02,IDS,IDS1,2,20.0,20.0,noerror,NA,NA,15:27:18.686,11/14/2017,
CogDevLab-BYU,P02,ADS,ADS2,3,15.2,15.2,noerror,NA,NA,15:27:36.132,11/14/2017,
CogDevLab-BYU,P03,training,train1,-2,19.3,19.3,noerror,NA,NA,13:14:33.713,11/16/2017,
CogDevLab-BYU,P03,training,train2,-1,19.7,19.7,noerror,NA,NA,13:14:56.838,11/16/2017,
CogDevLab-BYU,P03,IDS,IDS1,1,17.3,17.3,noerror,NA,NA,13:15:16.920,11/16/2017,
CogDevLab-BYU,P03,ADS,ADS1,2,19.2,19.2,noerror,NA,NA,13:15:42.792,11/16/2017,
CogDevLab-BYU,P03,IDS,IDS2,3,07.9,07.9,noerror,NA,NA,13:15:54.039,11/16/2017,
CogDevLab-BYU,P04,training,train2,-2,20.1,20.1,noerror,NA,NA,15:15:48.588,11/16/2017,
CogDevLab-BYU,P04,training,train1,-1,16.2,16.2,noerror,NA,NA,15:16:15.901,11/16/2017,
CogDevLab-BYU,P04,ADS,ADS5,1,10.9,10.9,noerror,NA,NA,15:16:41.802,11/16/2017,
CogDevLab-BYU,P05,training,train1,-2,19.8,19.8,noerror,NA,NA,12:10:13.547,11/17/2017,
CogDevLab-BYU,P05,training,train2,-1,18.4,18.4,noerror,NA,NA,12:10:42.511,11/17/2017,
CogDevLab-BYU,P05,IDS,IDS1,1,19.6,19.6,noerror,NA,NA,12:11:12.260,11/17/2017,
CogDevLab-BYU,P05,ADS,ADS1,2,19.9,19.9,noerror,NA,NA,12:11:35.901,11/17/2017,
CogDevLab-BYU,P05,IDS,IDS2,3,10.2,10.2,noerror,NA,NA,12:11:52.183,11/17/2017,
CogDevLab-BYU,P06,training,train2,-2,19.2,19.2,noerror,NA,NA,13:19:44.412,11/27/2017,
CogDevLab-BYU,P06,training,train1,-1,15.1,15.1,noerror,NA,NA,13:20:02.258,11/27/2017,
CogDevLab-BYU,P06,ADS,ADS1,1,19.7,19.7,noerror,NA,NA,13:20:31.498,11/27/2017,
CogDevLab-BYU,P06,IDS,IDS1,2,17.6,17.6,noerror,NA,NA,13:20:52.432,11/27/2017,
CogDevLab-BYU,P06,ADS,ADS2,3,03.7,03.7,noerror,NA,NA,13:21:04.302,11/27/2017,
CogDevLab-BYU,P07,training,train1,-2,07.7,07.7,noerror,NA,NA,11:18:42.369,11/28/2017,
CogDevLab-BYU,P07,training,train2,-1,05.3,05.3,noerror,NA,NA,11:19:03.706,11/28/2017,
CogDevLab-BYU,P07,IDS,IDS5,1,19.3,19.3,noerror,NA,NA,11:19:41.737,11/28/2017,
CogDevLab-BYU,P08,training,train2,-2,20.1,20.1,noerror,NA,NA,13:44:11.960,11/8/2017,
CogDevLab-BYU,P08,training,train1,-1,20.0,20.0,noerror,NA,NA,13:44:36.577,11/8/2017,
CogDevLab-BYU,P08,ADS,ADS1,1,19.8,19.8,noerror,NA,NA,13:44:59.446,11/8/2017,
CogDevLab-BYU,P08,IDS,IDS1,2,16.1,16.1,noerror,NA,NA,13:45:32.618,11/8/2017,
CogDevLab-BYU,P08,ADS,ADS2,3,18.1,18.1,noerror,NA,NA,13:46:00.227,11/8/2017,
CogDevLab-BYU,P09,training,train1,-2,19.3,19.3,noerror,NA,NA,08:14:46.926,12/4/2017,
CogDevLab-BYU,P09,training,train2,-1,17.8,17.8,noerror,NA,NA,08:15:17.087,12/4/2017,
CogDevLab-BYU,P09,IDS,IDS1,1,19.4,19.4,noerror,NA,NA,08:15:46.103,12/4/2017,
CogDevLab-BYU,P09,ADS,ADS1,2,00.0,00.0,noerror,NA,NA,08:15:58.865,12/4/2017,
CogDevLab-BYU,P10,training,train2,-2,20.1,20.1,noerror,NA,NA,09:31:39.794,12/4/2017,
CogDevLab-BYU,P10,training,train1,-1,19.9,19.9,noerror,NA,NA,09:32:02.363,12/4/2017,
CogDevLab-BYU,P10,ADS,ADS1,1,19.8,19.8,noerror,NA,NA,09:32:24.433,12/4/2017,
CogDevLab-BYU,P10,IDS,IDS1,2,19.8,19.8,noerror,NA,NA,09:32:46.786,12/4/2017,
CogDevLab-BYU,P10,ADS,ADS2,3,19.9,19.9,noerror,NA,NA,09:33:09.163,12/4/2017,
CogDevLab-BYU,P10,IDS,IDS2,4,19.9,19.9,noerror,NA,NA,09:33:31.680,12/4/2017,
CogDevLab-BYU,P10,IDS,IDS3,5,19.8,19.8,noerror,NA,NA,09:33:53.925,12/4/2017,
CogDevLab-BYU,P10,ADS,ADS3,6,18.8,18.8,noerror,NA,NA,09:34:15.643,12/4/2017,
CogDevLab-BYU,P10,ADS,ADS4,7,19.3,19.3,noerror,NA,NA,09:34:39.484,12/4/2017,
CogDevLab-BYU,P10,IDS,IDS4,8,19.4,19.4,noerror,NA,NA,09:35:01.997,12/4/2017,
CogDevLab-BYU,P10,IDS,IDS5,9,13.2,13.2,noerror,NA,NA,09:35:17.499,12/4/2017,
CogDevLab-BYU,P12,training,train2,-2,12.1,12.1,noerror,NA,NA,12:21:40.280,12/4/2017,
CogDevLab-BYU,P12,training,train1,-1,19.9,19.9,noerror,NA,NA,12:22:14.124,12/4/2017,
CogDevLab-BYU,P12,ADS,ADS5,1,16.8,16.8,noerror,NA,NA,12:22:36.169,12/4/2017,
CogDevLab-BYU,P12,IDS,IDS5,2,05.2,05.2,noerror,NA,NA,12:22:48.176,12/4/2017,
CogDevLab-BYU,P13,training,train2,-2,08.7,08.7,noerror,NA,NA,11:08:46.355,12/5/2017,
CogDevLab-BYU,P13,IDS,IDS1,1,19.0,19.0,noerror,NA,NA,11:09:08.645,12/5/2017,
CogDevLab-BYU,P13,ADS,ADS1,2,03.6,03.6,noerror,NA,NA,11:09:16.084,12/5/2017,
CogDevLab-BYU,P14,training,train2,-2,19.5,19.5,noerror,NA,NA,16:36:25.078,12/5/2017,
CogDevLab-BYU,P14,training,train1,-1,18.5,18.5,noerror,NA,NA,16:36:54.774,12/5/2017,
CogDevLab-BYU,P14,ADS,ADS1,1,05.1,05.1,noerror,NA,NA,16:37:13.464,12/5/2017,
CogDevLab-BYU,P15,training,train1,-2,19.4,19.4,noerror,NA,NA,13:25:22.395,12/6/2017,
CogDevLab-BYU,P15,training,train2,-1,19.9,19.9,noerror,NA,NA,13:25:53.683,12/6/2017,
CogDevLab-BYU,P15,IDS,IDS5,1,19.6,19.6,noerror,NA,NA,13:26:18.196,12/6/2017,
CogDevLab-BYU,P15,ADS,ADS5,2,19.5,19.5,noerror,NA,NA,13:26:42.717,12/6/2017,
CogDevLab-BYU,P15,ADS,ADS7,3,11.7,11.7,noerror,NA,NA,13:26:58.715,12/6/2017,
CogDevLab-BYU,P16,training,train2,-2,16.9,16.9,noerror,NA,NA,13:24:54.563,12/11/2017,
CogDevLab-BYU,P16,training,train1,-1,18.8,18.8,noerror,NA,NA,13:25:22.247,12/11/2017,
CogDevLab-BYU,P16,ADS,ADS5,1,19.2,19.2,noerror,NA,NA,13:25:45.336,12/11/2017,
CogDevLab-BYU,P16,IDS,IDS5,2,09.3,09.3,noerror,NA,NA,13:26:10.409,12/11/2017,
CogDevLab-BYU,P17,training,train1,-3,08.9,08.9,noerror,NA,NA,14:53:14.500,12/11/2017,
CogDevLab-BYU,P19,training,train1,-2,19.5,19.5,noerror,NA,NA,15:15:02.938,12/14/2017,
CogDevLab-BYU,P19,training,train2,-1,20.0,20.0,noerror,NA,NA,15:15:27.759,12/14/2017,
CogDevLab-BYU,P19,IDS,IDS5,1,06.8,06.8,noerror,NA,NA,15:15:38.018,12/14/2017,
CogDevLab-BYU,P20,training,train2,-2,20.0,20.0,noerror,NA,NA,11:23:29.675,12/14/2017,
CogDevLab-BYU,P20,training,train1,-1,20.0,20.0,noerror,NA,NA,11:24:01.083,12/14/2017,
CogDevLab-BYU,P20,ADS,ADS1,1,19.5,19.5,noerror,NA,NA,11:24:32.207,12/14/2017,
CogDevLab-BYU,P20,IDS,IDS1,2,03.3,03.3,noerror,NA,NA,11:24:46.605,12/14/2017,
